date,open,high,low,close,volume,oi,SYMBOL,MA_VOL,MA_OI,RSI,VWAP
2023-11-01 09:50:00,81.65,82.75,77.4,79.65,130550,1714850,NIFTY23N0919200CE,179725.0,1605485.0,16.16207553420768,89.76203889899665
2023-11-01 09:55:00,79.65,80.1,74.8,75.6,157650,1729550,NIFTY23N0919200CE,185985.0,1629210.0,12.856189948504923,88.5798508400518
2023-11-01 10:00:00,75.5,77.05,69.5,72.0,223550,1720100,NIFTY23N0919200CE,194765.0,1652610.0,10.475410218406047,86.77438879333212
2023-11-01 10:05:00,72.0,76.0,70.0,73.9,132400,1729650,NIFTY23N0919200CE,156040.0,1672040.0,20.221970119545286,85.91671273927709
2023-11-01 10:10:00,73.9,77.5,73.0,77.45,96300,1733400,NIFTY23N0919200CE,143460.0,1687165.0,36.394811458904535,85.47717661834416
2023-11-01 10:15:00,77.85,82.8,76.8,81.35,128600,1720150,NIFTY23N0919200CE,143595.0,1697590.0,50.245756675482724,85.18925645530994
2023-11-01 10:20:00,81.0,81.95,75.05,80.6,97150,1728500,NIFTY23N0919200CE,133435.0,1708175.0,47.74636756321657,84.94702829468659
2023-11-01 10:25:00,80.6,80.85,76.7,79.65,41300,1727350,NIFTY23N0919200CE,125070.0,1715580.0,44.26040870197976,84.8476344438078
2023-11-01 10:30:00,79.8,80.95,73.95,74.9,66600,1725250,NIFTY23N0919200CE,122855.0,1721090.0,30.39211870100871,84.62879282868526
2023-11-01 10:35:00,74.75,76.15,72.05,74.2,52700,1738850,NIFTY23N0919200CE,112680.0,1726765.0,28.733630302735076,84.41296158998972
2023-11-01 10:40:00,74.2,79.8,73.5,79.25,68150,1742300,NIFTY23N0919200CE,106440.0,1729510.0,52.237590390652066,84.2343187562955
2023-11-01 10:45:00,79.0,79.45,76.25,78.0,54650,1762100,NIFTY23N0919200CE,96140.0,1732765.0,47.40066400408735,84.10541519270154
2023-11-01 10:50:00,78.0,80.0,77.55,78.65,91300,1762600,NIFTY23N0919200CE,82915.0,1737015.0,50.38671799668782,83.92878343176797
2023-11-01 10:55:00,79.3,81.0,75.7,79.4,94650,1782500,NIFTY23N0919200CE,79140.0,1742300.0,54.14158336497558,83.7564299685989
2023-11-01 11:00:00,79.4,79.9,77.7,78.55,33500,1781750,NIFTY23N0919200CE,72860.0,1747135.0,48.898795894097546,83.69831121591307
2023-11-01 11:05:00,78.55,78.55,73.4,74.4,47550,1786450,NIFTY23N0919200CE,64755.0,1753765.0,30.735076531384525,83.56547219870166
2023-11-01 11:10:00,74.5,76.5,72.5,76.5,57100,1791650,NIFTY23N0919200CE,60750.0,1760080.0,43.91307516558155,83.40612484494062
2023-11-01 11:15:00,76.5,77.0,74.4,75.05,38450,1803550,NIFTY23N0919200CE,60465.0,1767700.0,37.719263150764036,83.30618182116434
2023-11-01 11:20:00,74.75,76.85,73.2,76.0,99050,1799050,NIFTY23N0919200CE,63710.0,1775080.0,44.16851004175428,83.05577356931778
2023-11-01 11:25:00,76.0,78.05,74.9,75.0,38450,1793700,NIFTY23N0919200CE,62285.0,1780565.0,38.872120697609816,82.97040830207237
2023-11-01 11:30:00,75.0,77.4,72.7,76.4,51850,1800000,NIFTY23N0919200CE,60655.0,1786335.0,49.47475194024596,82.85076270052099
2023-11-01 11:35:00,76.4,76.7,73.5,74.0,28850,1806550,NIFTY23N0919200CE,58075.0,1790780.0,36.06876438869667,82.779063400944
2023-11-01 11:40:00,74.0,76.3,73.2,76.2,32900,1805950,NIFTY23N0919200CE,52235.0,1795115.0,51.21548541328551,82.70381537668794
2023-11-01 11:45:00,76.2,79.15,75.95,76.9,54000,1798000,NIFTY23N0919200CE,48170.0,1796665.0,55.41659609895106,82.61732773660587
2023-11-01 11:50:00,76.9,77.0,74.6,77.0,26450,1801150,NIFTY23N0919200CE,47465.0,1798605.0,56.09180734936936,82.56710335542668
